call_uid,enquiry_ref,call_start_local,caller_number,tracking_number,mkt_medium,traffic_src,campaign_label,adgroup_name,device_type,region_state,landing_path,agent_team,call_outcome,sales_stage,lead_quality_flag,job_won_flag,missed_call_flag,repeat_caller_flag,duration_sec,wait_time_sec,ad_spend_aud,quote_value_aud,booked_job_value_aud,revenue_aud,row_quality_note
CALL-250304-1021,ENQ-250304-1470,2025-03-04 09:27,0428452737,DNI-NZ-LOCAL-992288,Direct,Direct Visit,Local SEO,Emergency,Desktop,NSW,/blog/local-service-guide,Service Desk,Answered,Connected,No,No,No,No,394,11,0.0,0.0,0,0,ok
CALL-250124-1022,ENQ-250124-5820,2025-01-24 15:13,0401197573,DNI-AU-MOBILE-524045,Organic Search,Google Organic,Local SEO,Near Me,Mobile,SA,/blog/local-service-guide,After Hours,Missed,Missed,No,No,Yes,No,7,59,0.51,0,0,0,duplicate caller possible
CALL-250201-1023,ENQ-250201-5636,2025-02-01 12:42,0435725780,DNI-AU-LOCAL-973074,Email,CRM Email,Roof Repair AU,Emergency,Mobile,QLD,/lp/roof-repair,Inbound Sales,Answered,Qualified,No,No,No,No,165,22,3.81,0.0,0,0,ok
CALL-250207-1024,ENQ-250207-8827,2025-02-07 11:23,0401364742,DNI-AU-LOCAL-962050,Paid Search,Google Ads,Winter Promo,Emergency,Mobile,TAS,/lp/winter-offer,After Hours,Missed,Missed,No,No,Yes,No,24,61,36.36,0,0,0,ok
CALL-250221-1025,ENQ-250221-5335,2025-02-21 15:04,0435704201,DNI-AU-LOCAL-264686,Email,CRM Email,Winter Promo,Brand,Desktop,WA,/lp/winter-offer,Inbound Sales,Not Qualified,Connected,No,No,No,Yes,543,4,6.28,0.0,0,0,ok
CALL-250123-1026,ENQ-250123-5728,2025-01-23 16:04,0435725780,DNI-NZ-LOCAL-230394,Paid Search,Google Ads,Roof Repair AU,Competitor,Mobile,VIC,/lp/roof-repair,Inbound Sales,Answered,Connected,No,No,No,Yes,182,46,16.87,0.0,0,0,missing optional value
CALL-250330-1027,ENQ-250330-8141,2025-03-30 12:44,0413290305,DNI-NZ-LOCAL-195674,Organic Search,Google Organic,Dental Implants,Emergency,Mobile,NSW,/lp/implants,Service Desk,Not Qualified,Qualified,No,No,No,No,232,32,1.01,0.0,0,0,missing optional value
CALL-250214-1028,ENQ-250214-1888,2025-02-14 14:21,0435820221,DNI-AU-MOBILE-643623,Organic Search,Google Organic,Local SEO,Remarketing,Mobile,NSW,/blog/local-service-guide,After Hours,Missed,Missed,No,No,Yes,Yes,21,45,1.18,0,0,0,ok
CALL-250321-1029,ENQ-250321-8905,2025-03-21 15:40,0435820221,DNI-NZ-LOCAL-355570,Organic Search,Google Organic,Local SEO,Remarketing,Mobile,VIC,/blog/local-service-guide,Service Desk,Answered,Qualified,No,No,No,Yes,156,14,1.98,0.0,0,0,missing optional value
CALL-250312-1030,ENQ-250312-4912,2025-03-12 10:24,0402831380,DNI-NZ-LOCAL-344907,Paid Search,Google Ads,Emergency Plumbing,Generic,Mobile,VIC,/lp/emergency-plumbing,Service Desk,Converted,Appointment Booked,Yes,Yes,No,No,482,30,17.04,3516.98,2853.05,2853.05,missing optional value
CALL-250106-1031,ENQ-250106-6546,2025-01-06 13:47,0435265080,DNI-NZ-LOCAL-781403,Email,CRM Email,Winter Promo,Brand,Tablet,QLD,/lp/winter-offer,After Hours,Not Qualified,Connected,No,No,No,Yes,113,36,5.92,0.0,0,0,ok
CALL-250212-1032,ENQ-250212-9702,2025-02-12 18:54,0402356059,DNI-NZ-LOCAL-693418,Email,CRM Email,Retargeting Trial,Near Me,Desktop,NSW,/lp/retargeting,Inbound Sales,Answered,Connected,No,No,No,No,1004,107,0,0.0,0,0,duplicate caller possible
CALL-250124-1033,ENQ-250124-8484,2025-01-24 10:11,0477362246,STATIC-AU-308894,Paid Search,Google Ads,Competitor Terms,Remarketing,Mobile,WA,/lp/compare-options,Inbound Sales,Answered,Connected,No,No,No,No,187,41,49.98,0.0,0,0,missing optional value
CALL-250303-1034,ENQ-250303-3240,2025-03-03 09:15,0477813928,DNI-AU-LOCAL-757937,Organic Search,Google Organic,Local SEO,Remarketing,Desktop,VIC,/blog/local-service-guide,Service Desk,Qualified No Sale,Appointment Booked,Yes,No,No,No,255,24,0.0,1214.25,0,0,duplicate caller possible
CALL-250106-1035,ENQ-250106-7511,2025-01-06 12:50,0402809176,STATIC-AU-194689,Organic Search,Google Organic,Emergency Plumbing,Brand,Mobile,VIC,/lp/emergency-plumbing,Service Desk,Qualified No Sale,Won,Yes,No,No,No,162,5,0.53,7869.87,0,5035.23,missing optional value
CALL-250102-1036,ENQ-250102-7367,2025-01-02 12:34,0435242254,DNI-NZ-LOCAL-489033,Paid Search,Google Ads,Roof Repair AU,Competitor,Mobile,NSW,/lp/roof-repair,After Hours,Converted,Quote Sent,Yes,Yes,No,No,479,44,19.78,501.71,488.97,488.97,duplicate caller possible
CALL-250331-1037,ENQ-250331-4475,2025-03-31 16:26,0428196126,DNI-AU-LOCAL-153035,Email,CRM Email,Local SEO,Competitor,Mobile,SA,/blog/local-service-guide,After Hours,Not Qualified,Connected,No,No,No,No,168,54,13.05,0.0,0,0,ok
CALL-250201-1038,ENQ-250201-7897,2025-02-01 10:50,0435265080,DNI-AU-LOCAL-881886,Email,CRM Email,Winter Promo,Competitor,Mobile,VIC,/lp/winter-offer,Service Desk,Answered,Connected,No,No,No,Yes,493,74,4.93,0.0,0,0,ok
CALL-250302-1039,ENQ-250302-9984,2025-03-02 15:49,0428196126,STATIC-AU-499407,Organic Search,Google Organic,Emergency Plumbing,Generic,Mobile,NSW,/lp/emergency-plumbing,Service Desk,Answered,Connected,No,No,No,Yes,124,0,0.62,0.0,0,0,late-night call
CALL-250309-1040,ENQ-250309-2582,2025-03-09 12:29,0413290305,STATIC-AU-951201,Email,CRM Email,Roof Repair AU,Near Me,Mobile,QLD,/lp/roof-repair,Service Desk,Answered,Connected,No,No,No,Yes,128,4,2.13,0.0,0,0,ok
CALL-250313-1041,ENQ-250313-1430,2025-03-13 08:37,0435904711,STATIC-AU-130359,Direct,Direct Visit,Emergency Plumbing,Remarketing,Mobile,SA,/lp/emergency-plumbing,Overflow Team,Qualified No Sale,Qualified,Yes,No,No,No,243,15,0.0,1136.16,0,0,ok
CALL-250204-1042,ENQ-250204-4531,2025-02-04 19:48,0428386436,DNI-AU-LOCAL-461939,Organic Search,Google Organic,Local SEO,Brand,Desktop,NSW,/blog/local-service-guide,Inbound Sales,Qualified No Sale,Appointment Booked,Yes,No,No,No,219,10,0.0,348.8,0,329.95,missing optional value
CALL-250115-1043,ENQ-250115-1307,2025-01-15 12:43,0413290305,DNI-NZ-LOCAL-181644,Referral,Partner Referral,Roof Repair AU,Near Me,Mobile,VIC,/lp/roof-repair,Inbound Sales,Qualified No Sale,Appointment Booked,Yes,No,No,Yes,611,6,0.0,855.12,0,0,ok
CALL-250315-1044,ENQ-250315-6724,2025-03-15 14:36,0402913934,STATIC-AU-862712,Organic Search,Google Organic,Local SEO,Near Me,Mobile,WA,/blog/local-service-guide,Inbound Sales,Qualified No Sale,Appointment Booked,Yes,No,No,No,277,10,5.31,1634.34,0,0,duplicate caller possible
CALL-250119-1045,ENQ-250119-1920,2025-01-19 11:06,0413720148,STATIC-AU-631981,Paid Search,Google Ads,Winter Promo,Generic,Desktop,QLD,/lp/winter-offer,Inbound Sales,Not Qualified,Qualified,No,No,No,No,252,20,41.58,0.0,0,0,ok
CALL-250209-1046,ENQ-250209-2695,2025-02-09 15:28,0401572407,STATIC-AU-849014,Paid Search,Google Ads,Winter Promo,Near Me,Mobile,NSW,/lp/winter-offer,Inbound Sales,Missed,Missed,No,No,Yes,No,27,22,42.44,0,0,0,ok
CALL-250306-1047,ENQ-250306-2335,2025-03-06 18:11,0402449555,DNI-AU-MOBILE-466813,Paid Search,Google Ads,Local SEO,Competitor,Mobile,NSW,/blog/local-service-guide,Inbound Sales,Not Qualified,Connected,No,No,No,No,470,0,34.57,0.0,0,0,ok
CALL-250325-1048,ENQ-250325-6517,2025-03-25 19:42,0435139581,DNI-AU-MOBILE-726258,Organic Search,Google Organic,Emergency Plumbing,Generic,Mobile,VIC,/lp/emergency-plumbing,Service Desk,Answered,Connected,No,No,No,No,211,6,0.0,0.0,0,0,missing optional value
CALL-250120-1049,ENQ-250120-7256,2025-01-20 10:11,0413915922,DNI-NZ-LOCAL-269930,Display,Programmatic,Brand Protection,Remarketing,Desktop,VIC,/contact,Inbound Sales,Not Qualified,Qualified,No,No,No,No,320,27,19.82,0.0,0,0,ok
CALL-250319-1050,ENQ-250319-2623,2025-03-19 10:55,0401434165,STATIC-AU-929822,Paid Search,Google Ads,Local SEO,Generic,Mobile,VIC,/blog/local-service-guide,Service Desk,Qualified No Sale,Quote Sent,Yes,No,No,No,190,32,51.46,2092.21,0,0,ok
CALL-250118-1051,ENQ-250118-9189,2025-01-18 08:18,0401977330,DNI-AU-LOCAL-762652,Direct,Direct Visit,Roof Repair AU,High Intent,Desktop,NSW,/lp/roof-repair,After Hours,Answered,Connected,No,No,No,No,153,50,0.0,0.0,0,0,late-night call
CALL-250315-1052,ENQ-250315-6447,2025-03-15 11:45,0435870899,DNI-AU-MOBILE-146489,Paid Search,Google Ads,Roof Repair AU,High Intent,Mobile,NSW,/lp/roof-repair,After Hours,Qualified No Sale,Qualified,Yes,No,No,No,255,12,18.29,1641.39,0,0,ok
CALL-250311-1053,ENQ-250311-6438,2025-03-11 13:52,0401787584,STATIC-AU-230521,Referral,Partner Referral,Brand Protection,Brand,Desktop,TAS,/contact,Inbound Sales,Not Qualified,Qualified,No,No,No,No,198,0,1.71,0.0,0,0,ok
CALL-250225-1054,ENQ-250225-6776,2025-02-25 14:47,0428144412,DNI-NZ-LOCAL-387892,Organic Search,Google Organic,Local SEO,Generic,Mobile,QLD,/blog/local-service-guide,Inbound Sales,Not Qualified,Connected,No,No,No,No,594,1,1.92,0.0,0,0,duplicate caller possible
CALL-250108-1055,ENQ-250108-9674,2025-01-08 09:42,0435244383,STATIC-AU-517368,Referral,Partner Referral,Roof Repair AU,Brand,Desktop,QLD,/lp/roof-repair,Overflow Team,Answered,Connected,No,No,No,No,283,2,0.9,0.0,0,0,ok
CALL-250325-1056,ENQ-250325-3852,2025-03-25 12:15,0401977330,STATIC-AU-633469,Direct,Direct Visit,Brand Protection,Generic,Mobile,WA,/contact,Inbound Sales,Answered,Connected,No,No,No,Yes,208,34,0.78,0.0,0,0,ok
CALL-250116-1057,ENQ-250116-3981,2025-01-16 11:50,0435770872,DNI-AU-MOBILE-553633,Paid Search,Google Ads,Roof Repair AU,High Intent,Mobile,TAS,/lp/roof-repair,Inbound Sales,Answered,Connected,No,No,No,No,149,11,12.01,0.0,0,0,late-night call
CALL-250108-1058,ENQ-250108-5336,2025-01-08 09:33,0435770872,DNI-AU-MOBILE-904214,Paid Search,Google Ads,Dental Implants,Generic,Mobile,WA,/lp/implants,Service Desk,Answered,Connected,No,No,No,Yes,156,1,9.32,0.0,0,0,late-night call
CALL-250223-1059,ENQ-250223-7070,2025-02-23 17:40,0428237118,DNI-AU-LOCAL-434617,Paid Search,Google Ads,Competitor Terms,Generic,Mobile,VIC,/lp/compare-options,Inbound Sales,Answered,Connected,No,No,No,No,170,1,34.9,0.0,0,0,ok
CALL-250301-1060,ENQ-250301-1379,2025-03-01 09:17,0413621530,DNI-AU-LOCAL-512344,Organic Search,Google Organic,Local SEO,Generic,Tablet,SA,/blog/local-service-guide,Inbound Sales,Missed,Missed,No,No,Yes,No,29,71,0.0,0,0,0,late-night call
CALL-250228-1061,ENQ-250228-2946,2025-02-28 11:13,0413965401,DNI-AU-MOBILE-201377,Email,CRM Email,Winter Promo,Competitor,Mobile,SA,/lp/winter-offer,After Hours,Answered,Connected,No,No,No,No,525,23,1.7,0.0,0,0,missing optional value
CALL-250217-1062,ENQ-250217-8780,2025-02-17 13:35,0435414353,DNI-AU-LOCAL-486251,Direct,Direct Visit,Brand Protection,Brand,Mobile,NSW,/contact,Inbound Sales,Not Qualified,Qualified,No,No,No,No,381,2,2.38,0.0,0,0,ok
CALL-250328-1063,ENQ-250328-8225,2025-03-28 09:26,0402119857,STATIC-AU-539122,Email,CRM Email,Brand Protection,Emergency,Desktop,VIC,/contact,Inbound Sales,Not Qualified,Connected,No,No,No,No,389,23,22.93,0.0,0,0,ok
CALL-250222-1064,ENQ-250222-9011,2025-02-22 19:13,0413290305,STATIC-AU-603110,Organic Search,Google Organic,Brand Protection,Brand,Desktop,QLD,/contact,Inbound Sales,Not Qualified,Connected,No,No,No,Yes,203,56,0.0,0.0,0,0,ok
CALL-250313-1065,ENQ-250313-4920,2025-03-13 19:17,0401745584,DNI-AU-MOBILE-153231,Organic Search,Google Organic,Emergency Plumbing,Generic,Desktop,NSW,/lp/emergency-plumbing,Inbound Sales,Not Qualified,Connected,No,No,No,No,159,22,0.0,0.0,0,0,duplicate caller possible
CALL-250309-1066,ENQ-250309-1969,2025-03-09 11:40,0413777273,DNI-AU-LOCAL-783984,Paid Search,Google Ads,Emergency Plumbing,Near Me,Mobile,QLD,/lp/emergency-plumbing,Inbound Sales,Missed,Missed,No,No,Yes,No,9,55,21.7,0,0,0,late-night call
CALL-250130-1067,ENQ-250130-1151,2025-01-30 16:47,0413139286,STATIC-AU-695551,Paid Social,Meta Ads,Retargeting Trial,Brand,Desktop,VIC,/lp/retargeting,Service Desk,Missed,Missed,No,No,Yes,No,6,65,5.71,0,0,0,late-night call
CALL-250114-1068,ENQ-250114-8822,2025-01-14 13:18,0402247442,STATIC-AU-360096,Organic Search,Google Organic,Local SEO,Competitor,Desktop,VIC,/blog/local-service-guide,Inbound Sales,Not Qualified,Connected,No,No,No,No,135,11,0.0,0.0,0,0,ok
CALL-250203-1069,ENQ-250203-7121,2025-02-03 14:15,0428884056,DNI-NZ-LOCAL-836038,Organic Search,Google Organic,Local SEO,Competitor,Mobile,NSW,/blog/local-service-guide,Inbound Sales,Answered,Connected,No,No,No,No,154,12,1.88,0.0,0,0,late-night call
CALL-250302-1070,ENQ-250302-1911,2025-03-02 16:51,0428947975,DNI-NZ-LOCAL-238353,Referral,Partner Referral,Dental Implants,High Intent,Mobile,QLD,/lp/implants,Service Desk,Answered,Connected,No,No,No,No,309,2,0.33,0.0,0,0,late-night call
CALL-250223-1071,ENQ-250223-7135,2025-02-23 15:36,0477540781,DNI-NZ-LOCAL-570325,Paid Search,Google Ads,Roof Repair AU,Emergency,Desktop,NSW,/lp/roof-repair,Service Desk,Converted,Qualified,No,Yes,No,No,104,21,27.24,1485.46,1154.91,1154.91,missing optional value
CALL-250218-1072,ENQ-250218-7868,2025-02-18 09:43,0401948799,DNI-AU-LOCAL-352356,Direct,Direct Visit,Brand Protection,Remarketing,Desktop,VIC,/contact,Overflow Team,Qualified No Sale,Quote Sent,Yes,No,No,No,276,0,0,1166.34,0,0,ok
CALL-250109-1073,ENQ-250109-9540,2025-01-09 09:38,0402792282,DNI-AU-MOBILE-533649,Paid Search,Google Ads,Emergency Plumbing,Brand,Mobile,QLD,/lp/emergency-plumbing,Inbound Sales,Converted,Qualified,No,Yes,No,No,613,2,17.8,3530.88,2489.09,2489.09,ok
CALL-250205-1074,ENQ-250205-4692,2025-02-05 08:35,0402990598,STATIC-AU-999197,Direct,Direct Visit,Competitor Terms,Competitor,Mobile,NSW,/lp/compare-options,Inbound Sales,Missed,Missed,No,No,Yes,No,25,63,0,0,0,0,duplicate caller possible
CALL-250119-1075,ENQ-250119-2922,2025-01-19 15:58,0402299254,DNI-NZ-LOCAL-354377,Paid Search,Google Ads,Roof Repair AU,Competitor,Mobile,NSW,/lp/roof-repair,Inbound Sales,Answered,Connected,No,No,No,No,140,20,24.48,0.0,0,0,duplicate caller possible
CALL-250319-1076,ENQ-250319-5836,2025-03-19 19:13,0477537862,DNI-AU-MOBILE-305721,Organic Search,Google Organic,Local SEO,Competitor,Mobile,NSW,/blog/local-service-guide,After Hours,Answered,Connected,No,No,No,No,215,1,1.85,0.0,0,,ok
CALL-250130-1077,ENQ-250130-1794,2025-01-30 14:36,0435265080,DNI-AU-LOCAL-532424,Display,Programmatic,Emergency Plumbing,Generic,Mobile,QLD,/lp/emergency-plumbing,Inbound Sales,Not Qualified,Connected,No,No,No,Yes,472,11,10.83,0.0,0,0,ok
CALL-250322-1078,ENQ-250322-1280,2025-03-22 11:04,0435400614,DNI-NZ-LOCAL-945328,Paid Social,Meta Ads,Winter Promo,Emergency,Mobile,VIC,/lp/winter-offer,After Hours,Missed,Missed,No,No,Yes,No,,56,27.6,0,0,0,ok
CALL-250114-1079,ENQ-250114-1519,2025-01-14 09:33,0401785491,DNI-AU-LOCAL-524965,Paid Search,Google Ads,Winter Promo,Competitor,Desktop,VIC,/lp/winter-offer,Inbound Sales,Missed,Missed,No,No,Yes,No,18,33,36.34,0,0,0,missing optional value
CALL-250218-1080,ENQ-250218-5593,2025-02-18 16:30,0401817675,DNI-AU-LOCAL-288066,Paid Search,Google Ads,Emergency Plumbing,Generic,Desktop,QLD,/lp/emergency-plumbing,Inbound Sales,Missed,Missed,No,No,Yes,No,31,70,19.84,0,0,0,ok
CALL-250103-1081,ENQ-250103-9204,2025-01-03 11:37,0435242254,STATIC-AU-156304,Paid Search,Google Ads,Brand Protection,Near Me,Tablet,VIC,/contact,After Hours,Missed,Missed,No,No,Yes,Yes,16,69,50.99,0,0,0,ok
CALL-250225-1082,ENQ-250225-5419,2025-02-25 11:53,0435244383,DNI-AU-LOCAL-238943,Paid Search,Google Ads,Emergency Plumbing,Emergency,Mobile,WA,/lp/emergency-plumbing,Inbound Sales,Qualified No Sale,Quote Sent,Yes,No,No,Yes,171,19,18.61,528.27,0,476.78,ok
CALL-250124-1083,ENQ-250124-7899,2025-01-24 14:28,0401434165,STATIC-AU-607753,Email,CRM Email,Winter Promo,Generic,Mobile,NSW,/lp/winter-offer,After Hours,Answered,Qualified,No,No,No,Yes,222,1,3.17,0.0,0,0,ok
CALL-250216-1084,ENQ-250216-5922,2025-02-16 12:15,0435242736,STATIC-AU-732512,Paid Social,Meta Ads,Emergency Plumbing,High Intent,Mobile,NSW,/lp/emergency-plumbing,Inbound Sales,Missed,Missed,No,No,Yes,No,14,54,11.59,0,0,0,duplicate caller possible
CALL-250126-1085,ENQ-250126-7703,2025-01-26 15:20,0401958747,DNI-NZ-LOCAL-245939,Paid Search,Google Ads,Emergency Plumbing,Competitor,Tablet,QLD,/lp/emergency-plumbing,Inbound Sales,Answered,Connected,No,No,No,No,187,14,16.12,0.0,0,0,duplicate caller possible
CALL-250208-1086,ENQ-250208-7547,2025-02-08 11:16,0401948799,STATIC-AU-934908,Referral,Partner Referral,Local SEO,Remarketing,Desktop,VIC,/blog/local-service-guide,Overflow Team,Converted,Qualified,No,Yes,No,Yes,320,36,0.19,2781.23,2583.44,2583.44,missing optional value
CALL-250114-1087,ENQ-250114-8912,2025-01-14 08:06,0402646428,STATIC-AU-599292,Paid Search,Google Ads,Emergency Plumbing,Remarketing,Mobile,NSW,/lp/emergency-plumbing,Inbound Sales,Answered,Connected,No,No,No,No,362,2,13.11,0.0,0,0,ok
CALL-250226-1088,ENQ-250226-1072,2025-02-26 19:44,0428507723,DNI-AU-MOBILE-315780,Organic Search,Google Organic,Local SEO,High Intent,Desktop,VIC,/blog/local-service-guide,Inbound Sales,Not Qualified,Connected,No,No,No,No,156,3,2.23,0.0,0,0,ok
CALL-250109-1089,ENQ-250109-3194,2025-01-09 17:06,0401804758,STATIC-AU-223586,Paid Social,Meta Ads,Emergency Plumbing,Emergency,Mobile,VIC,/lp/emergency-plumbing,Inbound Sales,Not Qualified,Connected,No,No,No,No,225,16,9.04,0.0,0,0,ok
CALL-250209-1090,ENQ-250209-7703,2025-02-09 09:11,0477619013,DNI-NZ-LOCAL-535820,Organic Search,Google Organic,Local SEO,Remarketing,Mobile,NSW,/blog/local-service-guide,Inbound Sales,Not Qualified,Connected,No,No,No,No,351,165,1.95,0.0,0,0,duplicate caller possible
CALL-250226-1091,ENQ-250226-5055,2025-02-26 15:10,0428207391,STATIC-AU-133796,Paid Search,Google Ads,Winter Promo,Brand,Mobile,VIC,/lp/winter-offer,Inbound Sales,Converted,Connected,No,Yes,No,No,350,12,28.29,2685.46,1755.49,1755.49,missing optional value
CALL-250203-1092,ENQ-250203-9428,2025-02-03 13:55,0435380329,DNI-AU-LOCAL-242175,Paid Social,Meta Ads,Roof Repair AU,Generic,Tablet,QLD,/lp/roof-repair,Inbound Sales,Answered,Connected,No,No,No,No,758,16,13.4,0.0,0,0,missing optional value
CALL-250108-1093,ENQ-250108-2526,2025-01-08 12:55,0435102593,DNI-NZ-LOCAL-765678,Referral,Partner Referral,Local SEO,Brand,Mobile,VIC,/blog/local-service-guide,Inbound Sales,Answered,Connected,No,No,No,No,290,15,0.0,0.0,0,0,duplicate caller possible
CALL-250331-1094,ENQ-250331-3161,2025-03-31 13:54,0428312146,STATIC-AU-266699,Paid Search,Google Ads,Emergency Plumbing,Competitor,Desktop,NSW,/lp/emergency-plumbing,Inbound Sales,Qualified No Sale,Qualified,Yes,No,No,No,248,11,23.66,698.83,0,0,ok
CALL-250112-1095,ENQ-250112-2160,2025-01-12 18:23,0402600905,DNI-AU-MOBILE-501677,Paid Search,Google Ads,Roof Repair AU,Emergency,Mobile,NSW,/lp/roof-repair,Inbound Sales,Converted,Won,Yes,Yes,No,No,195,1,24.79,1671.6,1124.2,1124.2,ok
